Company Name,Type,Category,Criteria,Placement Date,Open For
WisdmLabs,"Internship, Job",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Fintech Global Center (Adsom Globaltech),"Job, Internship",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes, MscDS, MTechEC"
Cuvette,Internship,A1,-,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes, MscDS, MTechEC"
Hansa solutions,"Job, Internship",A,6.5,2022-00-00 00:00:00,"BTech, MscIT"
Infodesk India Private Limited,Internship,A,-,2022-00-00 00:00:00,"BTech, BTechMnC, MTech, MscIT, MscDS, MTechEC"
Bank of America,Job,A,6,2022-00-00 00:00:00,BTech
Mastek (Evosys),"Job, Internship",A,5.5,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
ElectricPe,Internship,A,-,2022-00-00 00:00:00,BTech
Injala Private Limited,"Job, Internship",A,-,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Shipturtle Apps Private Limited,Internship,A,-,2022-00-00 00:00:00,BTech
ZURU Tech India Private Limited,"Job, Internship",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Digicorp Information Systems Pvt Ltd.,"Job, Internship",A,-,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Skolar EdTech Pvt Ltd,Internship,A,-,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Bhaskaracharya National Institute for Space Applications and Geo-informatics,Job,A,-,2022-00-00 00:00:00,"MTech, MTechEC"
Signalchip,Job,A,7,2022-00-00 00:00:00,"MTech, MTechEC"
SAS R&D,"Job, Internship",A1,7,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS"
Siemens,Job,A,-,2022-00-00 00:00:00,BTech
HDFC Bank India,Job,A,5,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Cadence Design Systems,Job,A,7,2022-00-00 00:00:00,"BTech, MTech, MTechEC"
Flits,Job,A1,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes, MscDS"
